"BRANCH_ID","NAME"
676,"ars@kanet.ru"
24817,"avtodengi39@mail.ru"
1294,"ooo_potok@mail.ru"
1296,"mir_vitrazhej@mail.ru"
1297,"Mobil-Express@inbox.ru"
1298,"baltgtl@kaliningrad.ru"
1299,"hansa-flex@gazinter.net"
1300,"gazkenig@kaliningrad.ru"
1304,"ea@gazinter.net"
1305,"info@asbi.ru"
1306,"manndrew2@gazinter.net"
1416,"reception@ppkplant.ru"
24912,"info@alombard1.ru"
1996,"avianeft@kaliningrad.ru"
23523,"reception@ppkplant.ru"
24916,"razborka-kosma@mail.ru"
4739,"automir@list.ru"
2404,"kaliningrad@obnovlenie.ru"
20453,"baikal-med@mitel-inter.net"
2416,"biz.personal@mail.ru"
2417,"aerocart@baltnet.ru"
2420,"olvita07@mail.ru"
2433,"Kaliningrad@smpbank.ru"
2164,"abricos93@baltnet.ru"
2447,"iron@baltnet.ru"
2448,"stjag-mebel02@mail.ru"
24918,"chicko72@mail.ru"
2455,"info@arhimed.net"
23354,"insis2011@mail.ru"
23622,"ruyanvid@inbox.ru"
44,"Forsaid39@mail.ru"
47,"info@atury.ru"
50,"dokuchaev71@mail.ru"
53,"vet-39@ya.ru"
22672,"391219@gmail.com"
62,"realt@kaliningrad.ru"
65,"info@rdn39.ru"
73,"baltikus1@bk.ru"
74,"office@a-kovalsky.ru"
79,"kurisheva@mail.ru"
7251,"nadya@b2bpromotion.ru"
82,"levip.style@mail.ru"
83,"viktorverchenko@yandex.ru"
92,"technovent2006@mail.ru"
94,"mail@ntour.ru"
275,"tvoydom@kaliningrad.ru"
276,"electica@rambler.ru"
24923,"ExpertA@list.ru"
278,"kaliningrad@ldb.ru"
280,"oka@baltnet.ru"
281,"info@r-una.ru"
10739,"agro-ing@mail.ru"
2199,"evakuator-shmel@mail.ru"
288,"kaliningrad@1sk.ru"
289,"wbt@wbt.ru"
1118,"info@techtransplus.ru"
1119,"info@koenigagro.ru"
1128,"ric_044@inok.ru"
1129,"panorama@sis.ru"
1142,"pt-kld@rambler.ru"
16558,"kaliningrad@investbank.ru"
1149,"info@intelactiv.ru"
24946,"info@urstatus.com"
